time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_B0,Current_temp_B1,Current_temp_B2,Current_temp_B3,Current_temp_B4,Current_temp_B5,Current_temp_B6,Current_temp_Falz-,Target_temp_B0,Target_temp_B1,Target_temp_B2,Target_temp_B3,Target_temp_B4,Target_temp_B5,Target_temp_B6,Target_temp_Falz-,kp_B0,kp_B1,kp_B2,kp_B3,kp_B4,kp_B5,kp_B6,kp_Falz-,ki_B0,ki_B1,ki_B2,ki_B3,ki_B4,ki_B5,ki_B6,ki_Falz-,kd_B0,kd_B1,kd_B2,kd_B3,kd_B4,kd_B5,kd_B6,kd_Falz-,Output_B0,Output_B1,Output_B2,Output_B3,Output_B4,Output_B5,Output_B6,Output_Falz-,BaSyTec Line.Loop_B0,BaSyTec Line.Loop_B1,BaSyTec Line.Loop_B2,BaSyTec Line.Loop_B3,BaSyTec Line.Loop_B4,BaSyTec Line.Loop_B5,BaSyTec Line.Loop_B6,BaSyTec Line.Loop_Falz-
20241022 _110724,45587.4634742593,1729591644.17644,00:00:00,25,24.99,24.99,25,25,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.23,7.99,7.92,6.76,7.17,8.7,8.32,0,.,.,.,.,.,.,.,.
20241022 _110725,45587.4634858681,1729591645.17976,00:00:00,25,24.99,25,25,25.01,24.99,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.26,8.04,7.92,8.41,8.56,8.91,8.35,0,.,.,.,.,.,.,.,.
20241022 _110726,45587.4634975579,1729591646.18906,00:00:00,25,25,25,25,25.01,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.19,7.85,7.8,8.38,8.5,8.76,6.42,0,.,.,.,.,.,.,.,.
20241022 _110727,45587.4635092477,1729591647.19936,00:00:00,25,25.01,25.01,25,25,25,25.01,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.18,7.71,9.46,8.35,8.67,8.68,8.09,0,.,.,.,.,.,.,.,.
20241022 _110728,45587.4635209954,1729591648.21464,00:00:00,25,25,25,25,24.99,25,25.01,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.17,7.9,7.66,8.34,8.76,8.66,8.04,0,.,.,.,.,.,.,.,.
20241022 _110729,45587.4635326968,1729591649.22594,00:00:00,25,24.99,25,25,25,25.01,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.06,8.15,7.64,8.31,8.65,8.54,8.23,0,.,.,.,.,.,.,.,.
20241022 _110730,45587.4635444676,1729591650.24222,00:00:00,25,25,25,25,25.01,25,24.99,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.12,7.87,7.6,8.2,8.47,8.72,8.34,0,.,.,.,.,.,.,.,.
20241022 _110731,45587.463556088,1729591651.24653,00:00:00,24.99,25.01,25,25,25,24.99,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.31,7.61,7.56,8.24,10.27,8.84,8.32,0,.,.,.,.,.,.,.,.
20241022 _110732,45587.4635677662,1729591652.25583,00:00:00,25,25,25,25,24.99,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.29,7.87,7.61,8.36,8.75,8.75,8.26,0,.,.,.,.,.,.,.,.
20241022 _110733,45587.463579537,1729591653.27212,00:00:00,25,24.99,25,24.99,24.99,25.01,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.22,8,7.61,8.54,8.79,8.59,8.16,0,.,.,.,.,.,.,.,.
20241022 _110734,45587.4635912731,1729591654.2864,00:00:00,25,25,25,24.99,25,25.01,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,5.3,7.94,7.6,8.57,8.6,8.54,8.2,0,.,.,.,.,.,.,.,.
20241022 _110735,45587.4636028588,1729591655.28773,00:00:00,25,25.01,25,25,25.01,25,24.99,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.17,7.71,7.6,8.53,8.47,8.72,8.29,0,.,.,.,.,.,.,.,.
20241022 _110736,45587.463614456,1729591656.28905,00:00:00,25,25.01,25,25,25,24.99,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.08,7.64,7.61,8.56,8.57,8.84,8.26,0,.,.,.,.,.,.,.,.
